id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Brand Name
10005,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Sports,Nike Men As Ss Trainin Blue T-Shirts,Jewellery
10008,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Nike Men Town Navy Blue T-Shirts,Fashion
10031,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Nike Men As Arsenal Co Navy Blue T-Shirts,Fashion
10035,Men,Footwear,Shoes,Sports Shoes,Brown,Fall,2011,Sports,Reebok Men Runtone Action Brown Sports Shoes,Jewellery
10037,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Men Premier ultra 8 U-form Silver Sports Shoes,Fashion
10080,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Reebok Men Run Sheer Black Sports Shoes,Jewellery
10088,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Men Racehound Silver Sports Shoes,Handmade
10097,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Casual,Puma Men 917 Lo Feuer Black Casual Shoes,Jewellery
10158,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Puma Men 917 Lo Feuer Black Casual Shoes,Jewellery
10159,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Men 917 Mid Spill White Casual Shoes,Jewellery
10160,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Men 917 Lo Paint Splatter White Casual Shoes,Jewellery
10161,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Casual,Puma Men Cabana Racer White Sports Shoes,Jewellery
10162,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Men 917 Lo Paint Splatter White Casual Shoes,Jewellery
10183,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Women Future Cat Ballistic Jr White Casual Shoes,Jewellery
10639,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Nike Men Nike Capri II Black Casual Shoes,Jewellery
11151,Men,Accessories,Ties,Ties,Grey,Fall,2011,Formal,Indigo Nation Men Check Grey Ties,Handmade
11152,Men,Accessories,Ties,Ties,Black,Fall,2011,Formal,Indigo Nation Men Orange Check Black Ties,Handmade
11153,Men,Accessories,Ties,Ties,Blue,Fall,2011,Formal,Indigo Nation Men Check Blue Ties,Handmade
11154,Men,Accessories,Ties,Ties,Blue,Fall,2011,Formal,Indigo Nation Men Strip Blue Ties,Handmade
11155,Men,Accessories,Ties,Ties,Black,Fall,2011,Formal,Indigo Nation Men Green Check Black Ties,Handmade
11156,Men,Accessories,Ties,Ties,Red,Fall,2011,Formal,Indigo Nation Men Check Red Ties,Handmade
11157,Men,Accessories,Ties,Ties,Black,Fall,2011,Casual,Indigo Nation Men Printed Black Ties,Handmade
11158,Men,Accessories,Ties,Ties,Grey,Fall,2011,Formal,Indigo Nation Men Stripe Grey Ties,Handmade
11159,Men,Accessories,Ties,Ties,Blue,Fall,2011,Formal,Indigo Nation Men Black Stripe Blue Ties,Handmade
11160,Men,Accessories,Ties,Ties,Grey,Fall,2011,Formal,Indigo Nation Men Check Grey Ties,Handmade
12683,Women,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Fila Women Elixir Low White Shoes,Jewellery
12685,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Fila Men Vintage Hi Black Casual Shoes,Jewellery
